,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
1314,R037421c0g2_i02,3,g16553,Imp5,RANBP6,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,NLS-bearing protein import into nucleus [GO:0006607]; cellular response to amino acid stimulus [GO:0071230]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; positive regulation of protein import into nucleus [GO:0042307]; protein import into nucleus [GO:0006606]; ribosomal protein import into nucleus [GO:0006610]; viral process [GO:0016032],"Functions in nuclear protein import as nuclear transport receptor. Serves as receptor for nuclear localization signals (NLS) in cargo substrates. Is thought to mediate docking of the importin/substrate complex to the nuclear pore complex (NPC) through binding to nucleoporin and the complex is subsequently translocated through the pore by an energy requiring, Ran-dependent mechanism. At the nucleoplasmic side of the NPC, Ran binds to the importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the cytoplasm where GTP hydrolysis releases Ran. The directionality of nuclear import is thought to be conferred by an asymmetric distribution of the GTP- and GDP-bound forms of Ran between the cytoplasm and nucleus (By similarity). Mediates the nuclear import of ribosomal proteins RPL23A, RPS7 and RPL5. Binds to a beta-like import receptor binding (BIB) domain of RPL23A. In vitro, mediates nuclear import of H2A, H2B, H3 and H4 histones. Binds to CPEB3 and mediates its nuclear import following neuronal stimulation (By similarity). In case of HIV-1 infection, binds and mediates the nuclear import of HIV-1 Rev. "
1315,R037424c0g1_i01,2,g2103,NAN,MEI1,Meiosis inhibitor protein 1 (Meiosis defective protein 1),Mei1,gamete generation [GO:0007276]; male meiosis I [GO:0007141]; meiotic cell cycle [GO:0051321]; meiotic telomere clustering [GO:0045141]; spermatid development [GO:0007286],Required for normal meiotic chromosome synapsis. May be involved in the formation of meiotic double-strand breaks (DSBs) in spermatocytes. 
1316,R037425c0g1_i01,7,g5302,NAN,NA,NA,NA,NA,NA
1317,R037428c0g1_i01,5,g7985,NAN,EIF2B3,Translation initiation factor eIF-2B subunit gamma (eIF-2B GDP-GTP exchange factor subunit gamma),EIF2B3 QtsA-17166,T cell receptor signaling pathway [GO:0050852]; oligodendrocyte development [GO:0014003]; translational initiation [GO:0006413],Catalyzes the exchange of eukaryotic initiation factor 2-bound GDP for GTP. 
1318,R037432c1g1_i02,1,g4715,NAN,NA,NA,NA,NA,NA
1319,R037433c0g1_i03,1,NA,NAN,DUSP10,NA,DUSP10,NA,NA
1320,R037454c0g1_i01,2,g1089,SCP-3,SYCP3,Synaptonemal complex protein 3 (SCP-3) (Meiotic chromosome core protein) (Synaptonemal complex protein COR1),SYCP3 COR1,cell division [GO:0051301]; meiotic cell cycle [GO:0051321],"Component of the synaptonemal complexes (SCS), formed between homologous chromosomes during meiotic prophase (PubMed:7876343). Required for centromere pairing during meiosis in male germ cells. Required for normal meiosis during spermatogenesis and male fertility. Plays a lesser role in female fertility. Required for efficient phosphorylation of HORMAD1 and HORMAD2. "
1321,R037469c0g2_i01,9,g21255,NAN,NA,Glycine betaine transporter BetL (Glycine betaine-Na(+) symporter),betL,amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; response to cold [GO:0009409]; response to osmotic stress [GO:0006970],"High-affinity uptake of glycine betaine, driven by a sodium-motive force. Involved, with GbuABC and OpuC, in osmoprotection and cryoprotection of Listeria. Does not mediate either carnitine or choline uptake. "
1322,R037470c0g1_i03,3,g31234,NAN,NA,Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48),PTPRD,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; neuron differentiation [GO:0030182]; phosphate-containing compound metabolic process [GO:0006796]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of synapse assembly [GO:0051965]; presynaptic membrane assembly [GO:0097105]; protein dephosphorylation [GO:0006470]; regulation of postsynaptic density assembly [GO:0099151]; regulation of presynapse assembly [GO:1905606]; synaptic membrane adhesion [GO:0099560]; trans-synaptic signaling by trans-synaptic complex [GO:0099545]; transmembrane receptor protein tyrosine phosphatase signaling pathway [GO:0007185],Can bidirectionally induce pre- and post-synaptic differentiation of neurons by mediating interaction with IL1RAP and IL1RAPL1 trans-synaptically. Involved in pre-synaptic differentiation through interaction with SLITRK2. 
1323,R037476c0g1_i02,1,g8947,NAN,CHMP1B,Charged multivesicular body protein 1b (Chromatin-modifying protein 1b) (CHMP1b),CHMP1B RCJMB04_8n10,endosome transport via multivesicular body sorting pathway [GO:0032509]; late endosome to vacuole transport [GO:0045324]; protein transport [GO:0015031],"Probable peripherally associated component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids."
1324,R037478c0g1_i03,8,g7216,NAN,ARHGAP23,Rho GTPase-activating protein 23 (Rho-type GTPase-activating protein 23),ARHGAP23 KIAA1501,regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165],GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state. 
1325,R037480c5g5_i02,5,g651,NAN,NA,Kelch repeat and BTB domain-containing protein 12 (Kelch domain-containing protein 6),Kbtbd12 Klhdc6,NA,NA
1326,R037500c0g1_i01,3,g19933,NAN,PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-),pdxdc1,carboxylic acid metabolic process [GO:0019752],NA
1327,R037507c0g1_i02,5,g3754,NAN,RCBTB1,RCC1 and BTB domain-containing protein 1 (Regulator of chromosome condensation and BTB domain-containing protein 1),Rcbtb1,cell cycle [GO:0007049]; chromatin organization [GO:0006325],May be involved in cell cycle regulation by chromatin remodeling.
1328,R037514c0g1_i03,1,g10076,NAN,DSTYK,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (Receptor-interacting serine/threonine-protein kinase 5),Dstyk Ripk5,cellular response to fibroblast growth factor stimulus [GO:0044344]; negative regulation of apoptotic process [GO:0043066]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast growth factor receptor signaling pathway [GO:0045743]; positive regulation of kinase activity [GO:0033674],"Acts as a positive regulator of ERK phosphorylation downstream of fibroblast growth factor-receptor activation. Involved in the regulation of both caspase-dependent apoptosis and caspase-independent cell death. In the skin, it plays a predominant role in suppressing caspase-dependent apoptosis in response to UV stress in a range of dermal cell types. "
1329,R037521c0g1_i08,7,g30184,NAN,NA,NA,NA,NA,NA
1330,R037523c0g1_i03,3,g31260,NAN,SLX1B,Structure-specific endonuclease subunit SLX1 (EC 3.1.-.-) (GIY-YIG domain-containing protein 1),Slx1b Giyd1 Giyd2 Slx1,double-strand break repair via homologous recombination [GO:0000724]; positive regulation of t-circle formation [GO:1904431]; t-circle formation [GO:0090656],"Catalytic subunit of the SLX1-SLX4 structure-specific endonuclease that resolves DNA secondary structures generated during DNA repair and recombination. Has endonuclease activity towards branched DNA substrates, introducing single-strand cuts in duplex DNA close to junctions with ss-DNA. Has a preference for 5'-flap structures, and promotes symmetrical cleavage of static and migrating Holliday junctions (HJs). Resolves HJs by generating two pairs of ligatable, nicked duplex products. "
1331,R037526c0g1_i01,5,g5051,IRS-2-B ,IRS4,Insulin receptor substrate 2-B (IRS-2-B),irs2-b,insulin receptor signaling pathway [GO:0008286],Potentiates insulin signaling. 
1332,R037535c0g1_i01,9,g22258,NAN,DAG1,Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)],Dag1 Dag-1,Schwann cell development [GO:0014044]; aging [GO:0007568]; angiogenesis involved in wound healing [GO:0060055]; axon regeneration [GO:0031103]; basement membrane organization [GO:0071711]; branching involved in salivary gland morphogenesis [GO:0060445]; calcium-dependent cell-matrix adhesion [GO:0016340]; cellular response to cholesterol [GO:0071397]; cellular response to mechanical stimulus [GO:0071260]; commissural neuron axon guidance [GO:0071679]; cytoskeletal anchoring at plasma membrane [GO:0007016]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; membrane protein ectodomain proteolysis [GO:0006509]; microtubule anchoring [GO:0034453]; modulation by virus of host morphology or physiology [GO:0019048]; morphogenesis of an epithelial sheet [GO:0002011]; myelination in peripheral nervous system [GO:0022011]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of cell migration [GO:0030336]; negative regulation of protein kinase B signaling [GO:0051898]; nerve maturation [GO:0021682]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of myelination [GO:0031643]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of protein kinase activity [GO:0045860]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of synapse organization [GO:0050807]; response to denervation involved in regulation of muscle adaptation [GO:0014894]; response to peptide hormone [GO:0043434]; retrograde trans-synaptic signaling by trans-synaptic protein complex [GO:0098942]; skeletal muscle tissue regeneration [GO:0043403],"The dystroglycan complex is involved in a number of processes including laminin and basement membrane assembly, sacrolemmal stability, cell survival, peripheral nerve myelination, nodal structure, cell migration, and epithelial polarization.; Alpha-dystroglycan is an extracellular peripheral glycoprotein that acts as a receptor for both extracellular matrix proteins containing laminin-G domains, and for certain adenoviruses. Receptor for laminin-2 (LAMA2) and agrin in peripheral nerve Schwann cells. Also receptor for lymphocytic choriomeningitis virus, Old World Lassa fever virus, and clade C New World arenaviruses.; Beta-dystroglycan is a transmembrane protein that plays important roles in connecting the extracellular matrix to the cytoskeleton. Acts as a cell adhesion receptor in both muscle and non-muscle tissues. Receptor for both DMD and UTRN and, through these interactions, scaffolds axin to the cytoskeleton. Also functions in cell adhesion-mediated signaling and implicated in cell polarity (By similarity). "
1333,R037547c0g1_i01,7,g1473,GDF-8,GDF11,Growth/differentiation factor 8 (GDF-8) (Myostatin),MSTN GDF8,myoblast migration involved in skeletal muscle regeneration [GO:0014839]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of macrophage chemotaxis [GO:0010759],Acts specifically as a negative regulator of skeletal muscle growth. 
1334,R037553c0g1_i02,4,g17578,NAN,NA,"Putative acyl-coenzyme A oxidase 3.2, peroxisomal (EC 1.3.3.6)",ACX3.2 At1g06310 T2D23.2,fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088],Catalyzes the desaturation of acyl-CoAs to 2-trans-enoyl-CoAs. 
1335,R037562c1g1_i01,4,g30463,NAN,NA,RNA-binding protein 12 (RNA-binding motif protein 12),RBM12,NA,NA
1336,R037568c0g1_i02,5,g4068,NAN,SLC8A2,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),SLC8A3 NCX3,calcium ion export across plasma membrane [GO:1990034]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; cell communication [GO:0007154]; cellular calcium ion homeostasis [GO:0006874]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; ion transport [GO:0006811]; learning [GO:0007612]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transmembrane transport [GO:0006851]; myelination [GO:0042552]; oligodendrocyte differentiation [GO:0048709]; regulation of cardiac conduction [GO:1903779]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transmembrane transport [GO:0035725]; telencephalon development [GO:0021537],"Mediates the electrogenic exchange of Ca(2+) against Na(+) ions across the cell membrane, and thereby contributes to the regulation of cytoplasmic Ca(2+) levels and Ca(2+)-dependent cellular processes. Contributes to cellular Ca(2+) homeostasis in excitable cells, both in muscle and in brain. In a first phase, voltage-gated channels mediate the rapid increase of cytoplasmic Ca(2+) levels due to release of Ca(2+) stores from the endoplasmic reticulum. SLC8A3 mediates the export of Ca(2+) from the cell during the next phase, so that cytoplasmic Ca(2+) levels rapidly return to baseline. Contributes to Ca(2+) transport during excitation-contraction coupling in muscle. In neurons, contributes to the rapid decrease of cytoplasmic Ca(2+) levels back to baseline after neuronal activation, and thereby contributes to modulate synaptic plasticity, learning and memory (By similarity). Required for normal oligodendrocyte differentiation and for normal myelination (PubMed:21959935). Mediates Ca(2+) efflux from mitochondria and contributes to mitochondrial Ca(2+) ion homeostasis (By similarity). "
